nacionalidad;cedula_identidad;religion;primer_apellido;segundo_apellido;primer_nombre;segundo_nombre;sexo;fecha_nacimiento;lugar_de_nacimiento;estado_civil;foto;grupo_sanguineo;codigo_estado;codigo_municipio;codigo_parroquia;codigo_ciudad;direccion_domiciliaria;telefono_domicilio;telefono_movil;correo_electronico;direccion_emergencia;telefono_emergencia;unidad_adscripcion_laboral;extension_interna;perfil_empleado;jefe_sector;grado_instruccion;especialidad;sedes;jerarquia;profesion;oficio;centro_votacion_cne;direccion_oficina;talla_pantalon;talla_camisa;talla_calzado;talla_gorra;estatura;peso;color_cabello;color_piel;discapacidad;alergias;dominio_mano;deporte;actividades_culturales;apellidos_beneficiario;nombres_beneficiario;cedula_beneficiario;telefono_beneficiario
V;17074164;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074165;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074166;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074167;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074168;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074169;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074170;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074171;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074172;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074173;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074174;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074175;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074176;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074177;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074178;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074179;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074180;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074181;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074182;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074183;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074184;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074185;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074186;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074187;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074188;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074189;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074190;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074191;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074192;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074193;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074194;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074195;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074196;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
V;17074197;catolica       ;gonzalez                      ;vasquez                       ;jacqueline                    ;jedalia                       ;F;07/07/11;caracas                                 ;SOLTERO;;O+;1;;;;hgwev gweflu veoiefñ wegf;0212-5436789        ;4126786554;jacqueline@gmail.com;hihcvupovnugoie`bnuèrgr;4165179906;dgcm                ;3627;Directivo;                    ;Universitario;informatica;4;                    ;estudiante                                                                                          ;estudiante                                                                                          ;                                                                                                                                                                                                                                                               ;;    ;    ;    ;    ;   ;94;marfron   ;morena              ;;ninguna;Diestro;                    ;                    ;vasquez                                                     ;zulay                                                       ;6053783;4165253328
